Percentile	0.0	25.0	50.0	75.0	100.0	0.0	25.0	50.0	75.0	100.0	0.0	25.0	50.0	75.0	100.0	0.0	25.0	50.0	75.0	100.0	0.0	25.0	50.0	75.0	100.0	0.0	25.0	50.0	75.0	100.0
Group	Contaminada	Contaminada	Contaminada	Contaminada	Contaminada	E._coli	E._coli	E._coli	E._coli	E._coli	E.coli_S.aureus_K.pneumo_S.agal	E.coli_S.aureus_K.pneumo_S.agal	E.coli_S.aureus_K.pneumo_S.agal	E.coli_S.aureus_K.pneumo_S.agal	E.coli_S.aureus_K.pneumo_S.agal	S._aureus	S._aureus	S._aureus	S._aureus	S._aureus	Sin_crecimiento	Sin_crecimiento	Sin_crecimiento	Sin_crecimiento	Sin_crecimiento	St._dysgalactiae	St._dysgalactiae	St._dysgalactiae	St._dysgalactiae	St._dysgalactiae
d__Bacteria;p__Actinobacteriota;c__Actinobacteria;o__Micrococcales;f__Micrococcaceae;g__Paenarthrobacter;__	71.0	213.25	355.5	497.75	640.0	1509.0	1509.0	1509.0	1509.0	1509.0	1.0	1.0	1.0	1.0	1.0	35659.0	52156.0	68653.0	85150.0	101647.0	4298.0	18348.5	32399.0	46449.5	60500.0	3009.0	3009.0	3009.0	3009.0	3009.0
d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pseudomonadales;f__Moraxellaceae;g__Acinetobacter;__	1298.0	2054.25	2810.5	3566.75	4323.0	17331.0	17331.0	17331.0	17331.0	17331.0	1.0	1.0	1.0	1.0	1.0	97.0	101.25	105.5	109.75	114.0	42.0	90.75	139.5	188.25	237.0	104.0	104.0	104.0	104.0	104.0
d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;__;__	15.0	65.5	116.0	166.5	217.0	964.0	964.0	964.0	964.0	964.0	14062.0	14062.0	14062.0	14062.0	14062.0	1.0	104.5	208.0	311.5	415.0	1210.0	1227.0	1244.0	1261.0	1278.0	1.0	1.0	1.0	1.0	1.0
d__Bacteria;p__Firmicutes;c__Bacilli;o__Staphylococcales;f__Staphylococcaceae;g__Staphylococcus;__	1.0	22.75	44.5	66.25	88.0	319.0	319.0	319.0	319.0	319.0	12058.0	12058.0	12058.0	12058.0	12058.0	1.0	50.75	100.5	150.25	200.0	269.0	793.0	1317.0	1841.0	2365.0	52.0	52.0	52.0	52.0	52.0
d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pseudomonadales;f__Pseudomonadaceae;g__Pseudomonas;__	44.0	124.25	204.5	284.75	365.0	1342.0	1342.0	1342.0	1342.0	1342.0	1.0	1.0	1.0	1.0	1.0	332.0	710.25	1088.5	1466.75	1845.0	268.0	8669.75	17071.5	25473.25	33875.0	7.0	7.0	7.0	7.0	7.0
d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales;f__Oxalobacteraceae;g__Janthinobacterium;__	1.0	3.5	6.0	8.5	11.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	155.25	309.5	463.75	618.0	1.0	2244.0	4487.0	6730.0	8973.0	1.0	1.0	1.0	1.0	1.0
d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Escherichia-Shigella;__	16.0	26.5	37.0	47.5	58.0	89.0	89.0	89.0	89.0	89.0	1905.0	1905.0	1905.0	1905.0	1905.0	1288.0	1421.75	1555.5	1689.25	1823.0	1089.0	1527.0	1965.0	2403.0	2841.0	690.0	690.0	690.0	690.0	690.0
d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Leuconostocaceae;g__Weissella;__	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	30.0	1758.0	3486.0	5214.0	6942.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;__;__;__	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1179.25	2357.5	3535.75	4714.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Flavobacteriales;f__Weeksellaceae;g__Chryseobacterium;__	11.0	41.25	71.5	101.75	132.0	4775.0	4775.0	4775.0	4775.0	4775.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
